Timestamp,ACC_91C,ACC_912
2025-08-20T21:42:38.375Z,"{""x"": 512, ""y"": 26623, ""z"": 26624}","{""x"": -32768, ""y"": 18687, ""z"": -23808}"
2025-08-20T21:42:39.576Z,"{""x"": -8705, ""y"": -5634, ""z"": -13313}","{""x"": 11776, ""y"": -19202, ""z"": -26369}"
2025-08-20T21:42:39.576Z,"{""x"": -8705, ""y"": -5634, ""z"": -13313}","{""x"": 16896, ""y"": 255, ""z"": -9473}"
2025-08-20T21:42:39.576Z,"{""x"": -8705, ""y"": -5634, ""z"": -13313}","{""x"": 18176, ""y"": -8706, ""z"": 1280}"
2025-08-20T21:42:39.576Z,"{""x"": -8705, ""y"": -5634, ""z"": -13313}","{""x"": 20224, ""y"": -30978, ""z"": 7168}"
2025-08-20T21:42:39.576Z,"{""x"": -8705, ""y"": -5634, ""z"": -13313}","{""x"": 22272, ""y"": 2303, ""z"": 27392}"
2025-08-20T21:42:39.576Z,"{""x"": -22529, ""y"": -6146, ""z"": -19201}","{""x"": 11776, ""y"": -19202, ""z"": -26369}"
2025-08-20T21:42:39.576Z,"{""x"": -22529, ""y"": -6146, ""z"": -19201}","{""x"": 16896, ""y"": 255, ""z"": -9473}"
2025-08-20T21:42:39.576Z,"{""x"": -22529, ""y"": -6146, ""z"": -19201}","{""x"": 18176, ""y"": -8706, ""z"": 1280}"
2025-08-20T21:42:39.576Z,"{""x"": -22529, ""y"": -6146, ""z"": -19201}","{""x"": 20224, ""y"": -30978, ""z"": 7168}"
2025-08-20T21:42:39.576Z,"{""x"": -22529, ""y"": -6146, ""z"": -19201}","{""x"": 22272, ""y"": 2303, ""z"": 27392}"
2025-08-20T21:42:39.678Z,"{""x"": -14081, ""y"": -3586, ""z"": -11521}","{""x"": 22272, ""y"": 5631, ""z"": -6913}"
2025-08-20T21:42:39.729Z,"{""x"": -15361, ""y"": 15359, ""z"": -26368}","{""x"": 21504, ""y"": -9986, ""z"": -14081}"
2025-08-20T21:42:39.830Z,"{""x"": -12033, ""y"": 26623, ""z"": 18944}","{""x"": 24064, ""y"": 19455, ""z"": -16641}"
2025-08-20T21:42:39.931Z,"{""x"": -29697, ""y"": -11522, ""z"": 32511}","{""x"": 24064, ""y"": -7426, ""z"": 25344}"
2025-08-20T21:42:40.082Z,"{""x"": -20481, ""y"": -258, ""z"": 3072}","{""x"": 25344, ""y"": 14847, ""z"": -12801}"
2025-08-20T21:42:40.173Z,"{""x"": -32513, ""y"": -16642, ""z"": -23297}","{""x"": -31488, ""y"": 10239, ""z"": -9984}"
2025-08-20T21:42:40.274Z,"{""x"": -23809, ""y"": 4351, ""z"": 7168}","{""x"": 23552, ""y"": 19455, ""z"": -16129}"
2025-08-20T21:42:40.375Z,"{""x"": -10753, ""y"": 29951, ""z"": -32768}","{""x"": 31232, ""y"": 3071, ""z"": 25344}"
2025-08-20T21:42:40.678Z,"{""x"": -17409, ""y"": 12799, ""z"": 19967}","{""x"": 24832, ""y"": -3586, ""z"": -4097}"
2025-08-20T21:42:40.930Z,"{""x"": -24577, ""y"": 4863, ""z"": -23297}","{""x"": 25344, ""y"": -258, ""z"": -15361}"
2025-08-20T21:42:41.323Z,"{""x"": -12801, ""y"": -6914, ""z"": 3072}","{""x"": 17664, ""y"": -3586, ""z"": -9985}"
2025-08-20T21:42:41.425Z,"{""x"": -17409, ""y"": 5631, ""z"": 4352}","{""x"": 29952, ""y"": 3583, ""z"": 26112}"
2025-08-20T21:42:41.626Z,"{""x"": -17921, ""y"": 3583, ""z"": 19456}","{""x"": 26624, ""y"": 255, ""z"": -7425}"
2025-08-20T21:42:41.626Z,"{""x"": -19201, ""y"": 3583, ""z"": -4097}","{""x"": 26624, ""y"": 255, ""z"": -7425}"
2025-08-20T21:42:42.273Z,"{""x"": 1280, ""y"": 24062, ""z"": 22273}","{""x"": 27392, ""y"": 3583, ""z"": 5121}"
2025-08-20T21:42:42.727Z,"{""x"": 9728, ""y"": 18686, ""z"": 14337}","{""x"": 13056, ""y"": 18687, ""z"": -5633}"
2025-08-20T21:42:42.727Z,"{""x"": 9728, ""y"": 18686, ""z"": 14337}","{""x"": 14336, ""y"": 29951, ""z"": -7424}"
2025-08-20T21:42:43.181Z,"{""x"": 8448, ""y"": 14846, ""z"": -767}","{""x"": 3072, ""y"": 24575, ""z"": -257}"
2025-08-20T21:42:43.373Z,"{""x"": -16641, ""y"": 2303, ""z"": 255}","{""x"": 7680, ""y"": -16642, ""z"": -7425}"
2025-08-20T21:42:44.422Z,"{""x"": -12032, ""y"": 26112, ""z"": -3585}","{""x"": -30977, ""y"": -2305, ""z"": 16384}"
2025-08-20T21:42:44.675Z,"{""x"": 19457, ""y"": -4096, ""z"": -17921}","{""x"": 4351, ""y"": -32768, ""z"": 25344}"
2025-08-20T21:42:44.725Z,"{""x"": -26368, ""y"": -27137, ""z"": -25089}","{""x"": -27905, ""y"": -29185, ""z"": 28160}"
2025-08-20T21:42:45.179Z,"{""x"": 8448, ""y"": 23295, ""z"": -31745}","{""x"": -11522, ""y"": 32000, ""z"": 20224}"
2025-08-20T21:42:45.179Z,"{""x"": 8448, ""y"": 23295, ""z"": -31745}","{""x"": -2306, ""y"": -26368, ""z"": 1792}"
2025-08-20T21:42:45.179Z,"{""x"": 8448, ""y"": 23295, ""z"": -31745}","{""x"": 1023, ""y"": -30976, ""z"": -18432}"
2025-08-20T21:42:45.179Z,"{""x"": 8448, ""y"": 23295, ""z"": -31745}","{""x"": -7425, ""y"": -14081, ""z"": -31488}"
2025-08-20T21:42:45.179Z,"{""x"": -32767, ""y"": 4353, ""z"": -15361}","{""x"": -11522, ""y"": 32000, ""z"": 20224}"
2025-08-20T21:42:45.179Z,"{""x"": -32767, ""y"": 4353, ""z"": -15361}","{""x"": -2306, ""y"": -26368, ""z"": 1792}"
2025-08-20T21:42:45.179Z,"{""x"": -32767, ""y"": 4353, ""z"": -15361}","{""x"": 1023, ""y"": -30976, ""z"": -18432}"
2025-08-20T21:42:45.179Z,"{""x"": -32767, ""y"": 4353, ""z"": -15361}","{""x"": -7425, ""y"": -14081, ""z"": -31488}"
2025-08-20T21:42:45.179Z,"{""x"": -9984, ""y"": -17152, ""z"": -25089}","{""x"": -11522, ""y"": 32000, ""z"": 20224}"
2025-08-20T21:42:45.179Z,"{""x"": -9984, ""y"": -17152, ""z"": -25089}","{""x"": -2306, ""y"": -26368, ""z"": 1792}"
